SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.01_Status,25-Jan
APB68271,8809874682716 ,"Glutathione Niacinamide, Mist Essence, 3.55 fl oz (105 ml)",APB,APLB,On Sale,119
APL22641,8804014226416 ,"Acne Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,0
NRP42355,8806173423552 ,"Bamboo Charcoal Mud Pack, 5.29 oz (150 g)",NRP,Nature Republic,On Sale,22
DMX48164,8809886481642 ,"Necksphalt, ECM Neck Barrier Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,12
PIT10063,8809563100637 ,"Defence Barrier pH Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,8
SRI99706,8809083997069 ,"Day By Day Cleaning Gel, 5.07 oz (150 ml)",SRI,Sioris,On Sale,19
NRP46865,8806173468652 ,"Argan Essential Moist, Hair Mist, 7.43 fl oz (220 ml)",NRP,Nature Republic,On Sale,128
NRP48704,8806173487042 ,"Black Bean, Invigorating Hair Treatment, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,19
APL22249,0 ,"Purifying Shot, Toner, 20.28 fl oz (600 ml)",APL,AMPLE:N,NoPO,0
NRP46989,8806173469895 ,"Snail Solution, Emulsion, 4.05 fl oz (120 ml)",NRP,Nature Republic,NoPO,8
HBF94477,8809617944774 ,"Hot & Spicy Chicken Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,104
NRP48619,8806173486199 ,"Real Squeeze Aloe Vera Eye Serum, 0.5 fl oz (15 ml)",NRP,Nature Republic,On Sale,38
APL22040,8804014220407 ,"Peeling Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,0
MUZ58009,8809836580098 ,"Objet Liquid, 009 Perception, 1 Count",MUZ,Muzigae Mansion,On Sale,5
SRI55330,8806158553304 ,"Fresh Moment Cleansing Oil, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,18
APB68269,8809874682693 ,"Glutathione Niacinamide, Beauty Sheet Mask, 1 Sheet, 0.85 fl oz (25 ml)",APB,APLB,NoPO,615
DMX48193,8809886481932 ,"Eyephalt, Eyecream for Eyebags, 0.33 fl oz (10 ml)",DMX,Dr.Melaxin,New Seller,26
MUZ58076,8809836580760 ,"Moodwear Blur Lipstick, 006 Ruffle, 1 Count",MUZ,Muzigae Mansion,On Sale,11
NRP47939,8806173479399 ,"Herbology, White Ginger Relaxing Body Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,NoPO,12
TSN01014,8809616010142 ,"TS Chakhan Hair Color Cream, No.5 Dark Brown, 1 Kit",TSN,TS Trillion,NoPO,32
MUZ58028,8809836580289 ,"Icy Glow, 08 Deserve , 1 Count",MUZ,Muzigae Mansion,On Sale,8
MUZ58041,8809836580418 ,"Objet Water, 001 Signature, 6 ml",MUZ,Muzigae Mansion,On Sale,48
MUZ58082,8809836580821 ,"Sleek Matt Cushion, SPF 50, PA4+, N21, 15 g",MUZ,Muzigae Mansion,On Sale,12
DMX48184,8809886481840 ,"TX Retinalsome Double Effect Eye Cream, 1.41 oz (40 g)",DMX,Dr.Melaxin,New Seller,14
DMX48170,8809886481703 ,"Exosome Repair Ampoule Plus , 1.35 fl oz (40 ml)",DMX,Dr.Melaxin,New Seller,23
PIT10260,8809563102600 ,"Daily Soft Touch Sunscreen, SPF 50+, PA++++, 2.02 fl oz (60 ml)",PIT,Purito,NoPO,142
SRI55258,8806158552581 ,"Enriched by Nature Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,18
APL23866,8804014238662 ,"Purifying Shot, Pumpkin Enzyme Peeling Gel, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,2
MUZ58081,8809836580814 ,"Sleek Matt Cushion, SPF 50, PA4+, N19, 15 g",MUZ,Muzigae Mansion,On Sale,13
PIT10035,8809563100354 ,"From Green, Deep Foaming Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,17
PIT10082,8809563100828 ,"Centella Unscented Mini Kit, 3 Piece Kit",PIT,Purito,On Sale,74
APL24293,8804014242935 ,"Blemi Shot, Ampoule, 1.69 fl oz (50 ml)",APL,AMPLE:N,NoPO,10
DMX48141,8809886481413 ,"TX-Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,77
NRP47346,8806173473465 ,"Shea Butter, Moist Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,33
TSN01025,8809616010258 ,"Premium TS Treatment, 6.76 fl oz (200 ml)",TSN,TS Trillion,NoPO,18
APL24095,8804014240955 ,"Centel Calming Shot, First Gel Cleanser, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,11
APL23941,8804014239416 ,"Centel Calming Shot, Toner Pad, 60 Pads, 6.08 fl oz (180 ml)",APL,AMPLE:N,NoPO,4
HBF94450,8809617944507 ,"Wasabi Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,85
LFT69431,8805915694311 ,"Probiotic, Liver Support, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,108
NRP45415,8806173454150 ,"California Aloe Fresh Powdery Sun Stick, SPF 50+, 0.71 oz (21 g)",NRP,Nature Republic,On Sale,26
MUZ58051,8809836580517 ,"Fitting Blush, 01 Odd, 1 Count",MUZ,Muzigae Mansion,On Sale,16
APB68276,8809874682761 ,"Glutathione Niacinamide, Sunscreen, SPF 50+ PA ++++, 1.35 fl oz (40 ml)",APB,APLB,On Sale,309
DMX48167,8809886481673 ,"Cemenrete, Calcium Dark Spot Eye Cream, 0.52 oz (15 g)",DMX,Dr.Melaxin,New Seller,16
NRP48604,8806173486045 ,"Kombucha Black Tea, Treatment Ampoule 78%, 1 Count",NRP,Nature Republic,On Sale,6
DMX48144,8809886481444 ,"Oyster Pep-3 Renewal Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,New Seller,2
LFT67871,8805915678717 ,"Probiotic, Kids , 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,112
NRP46222,8806173462223 ,"Good Skin, Vitamin E Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,45
APB68398,8809874683980 ,"Glutathione Niacinamide, Cleansing Oil, 3.55 fl oz (105 ml)",APB,APLB,New Seller,14
NRP46861,8806173468614 ,"Argan Essential Deep Care Hair Pack, 200 ml",NRP,Nature Republic,On Sale,160
MUZ58043,8809836580432 ,"Objet Water, 003 Posh, 6 ml",MUZ,Muzigae Mansion,On Sale,46
NRP47021,8806173470211 ,"Snail Solution, Cream, 1.75 fl oz (52 ml)",NRP,Nature Republic,NoPO,4
DMX48109,8809886481093 ,"Exosome Repair Cream , 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,23
SRI99705,8809083997052 ,"Time Is Running Out Mist, 3.38 fl oz (100 ml)",SRI,Sioris,On Sale,38
TSN01013,8809616010135 ,"TS Chakhan Hair Color Cream, No. 3 Natural Black, 1 Kit",TSN,TS Trillion,NoPO,16
MUZ58045,8809836580456 ,"Objet Water, 005 Diva, 6 ml",MUZ,Muzigae Mansion,On Sale,3
SRI77910,8809186779104 ,"All Your Love Body Cream, 10.14 fl oz (300 ml)",SRI,Sioris,On Sale,16
HBF94494,8809617944941 ,"Garlic Bread Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,72
NRP47193,8806173471935 ,"Forest Garden Chamomile, Deep Cleansing Oil, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,69
DMX48086,8809886480867 ,"TX-Ampoule Rx, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,New Seller,33
NRP44935,8806173449354 ,"Real Nature Beauty Mask Sheet, Royal Jelly, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,22
NRP48222,8806173482221 ,"CICA D1,  Green Derma Mild CICA Cream, 6.42 fl oz (190 ml)",NRP,Nature Republic,NoPO,4
TSN01017,8809616010173 ,"TS Chakhan Hair Color Cream, No. 7 Light Brown, 1 Kit",TSN,TS Trillion,NoPO,25
APB68275,8809874682754 ,"Glutathione Niacinamide, Eye Cream, 0.68 fl oz (20 ml)",APB,APLB,On Sale,107
APB68400,8809874684000 ,"Glutathione Niacinamide, Cleansing Water, 5.41 fl oz (160 ml)",APB,APLB,New Seller,30
