SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.08_Status,25-Aug
PNA09469,8809704094696 ,"Cicamanu Serum Mist, For Sensitive Skin, 1.69 fl oz (50 ml)",PNA,Parnell,New Pending,0
TWA31354,8800276313543 ,"Glaze Bouncing Tint, 10 Cherry Bite, 4.5 g",TWA,2aN,New Seller,9
DMX48141,8809886481413 ,"TX-Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,304
DMX48086,8809886480867 ,"TX-Ampoule Rx, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,148
TWA20998,8809968209980 ,"Dual Cheek, 12 Orange Flare, 7.4 g",TWA,2aN,New Seller,5
TWA20658,8809968206583 ,"Gleaming Tension Pact, 25 Sand Beige, 0.45 oz (13 g)",TWA,2aN,New Seller,7
APB68274,8809874682747 ,"Glutathione Niacinamide, Body Lotion, 10.14 fl oz (300 ml)",APB,APLB,On Sale,2285
DMX48148,8809886481482 ,"Oyster Pep-3 Renewal Oil Mist, 3.38 fl oz (100 ml)",DMX,Dr.Melaxin,On Sale,44
MUZ58027,8809836580272 ,"Icy Glow, 07 Purity, 1 Count",MUZ,Muzigae Mansion,NoPO,1
PNA09250,8809704092500 ,"AHA Omija Ceramic Pad, 60 Pads, 5.99 oz (170 g)",PNA,Parnell,New Pending,0
PNA09336,8809704093361 ,"Squalane Mineral Water, Moisture Beauty Mask, 10 Masks, 0.70 oz (20 g) Each",PNA,Parnell,New Pending,0
TWA20659,8809968206590 ,"Gleaming Tension Pact, 27 Soft Amber, 0.45 oz (13 g)",TWA,2aN,New Seller,1
APB68533,8809874685335 ,"Liposome Niacinamide LX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,35
PNA09235,8809704092357 ,"Niacinamide Rice Brightening Pad, 80 Pads, 5.64 oz (160 g)",PNA,Parnell,New Pending,0
APB68322,8809874683225 ,"Retinol Vitamin C Vitamin E Facial Toner, 5.41 fl oz (160 ml)",APB,APLB,New Pending,0
EQQ45602,8809875456026 ,"Purple PDRN Pore Minimizing Serum , 1.01 fl oz (30 ml)",EQQ,EQQUALBERRY,New Seller,202
EQQ45648,8809875456484 ,"Deep Cera Bakuchiol Plumping Serum , 1.01 fl oz (30 ml)",EQQ,EQQUALBERRY,New Seller,440
NRP48434,8806173484348 ,"Real Squeeze Aloe Vera Balm, 0.88 oz (25 g)",NRP,Nature Republic,On Sale,17
PIT10212,8809563102129 ,"Dermide Relief Barrier Moisturizer, For Dry & Sensitive Skin, 3.38 fl oz (100 ml)",PIT,Purito,NoPO,0
PNA09325,8809704093255 ,"Cicamanu Serum Cushion, 33N Moca Cream, 0.52 oz (15 g)",PNA,Parnell,New Seller,2
PNA09335,8809704093354 ,"Niacinamide Rice Brightening Gel Beauty Mask, 5 Masks, 1.23 oz (35 g) Each",PNA,Parnell,New Pending,0
GBL51082,8809893510823 ,"PDRN 3% Hyper Boost Ampoule, 1.35 fl oz (40 ml)",GBL,Genabelle,New Pending,0
GWU09192,8809704091923 ,"Algae Therapy Mineral No-Wash Treatment, 5.07 fl oz (150 ml)",GWU,GROWUS,New Seller,26
HKI63840,8809448638408 ,"Real Complexion, Hyaluron Moisture Cream, 1.69 fl oz (50 ml)",HKI,Hanskin,New Pending,0
NRP48814,8806173488148 ,"Mild & Moisture, Aloe Vera Watery Gel, 10.56 fl oz (300 ml)",NRP,Nature Republic,On Sale,1748
APB68312,8809874683126 ,"Retinol Vitamin C Vitamin E Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
APB68506,8809874685069 ,"PDRN Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,111
DMX48149,8809886481499 ,"AstaxanthinRX, Anti-Freckles & Whitening Capsule Cream, 1.76 oz (50 g)",DMX,Dr.Melaxin,On Sale,258
SGE02207,8800253022079 ,"Deep Collagen Retinol Power Boosting Pad, 100 Pads",SGE,Sungboon Editor,New Seller,22
DMX43446,8809497434464 ,"TX-Ampoule Cleanser, 3.38 fl oz (100 ml)",DMX,Dr.Melaxin,New Pending,0
HBF94481,8809617944811 ,"Blacksugar Milktea Almond, 120 g",HBF,HBAF,New Seller,66
BBU62672,8809135626725 ,"Top To Toe Wash, 10.14 fl oz (300 ml)",BBU,Bebesup,New Pending,0
